exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,3,890,11,125,0,125,1036,10.76
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,3,359,27,966,0,966,14,96.02
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,3,673,1093,1675,0,1675,2551,32.48
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,3,521,150,1343,0,1343,1307,52.23
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,3,426,131,1606,0,1606,175,96.89
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,2,407,144,1964,0,1964,94,382.01
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,4,95,13,29,0,29,14,8.24
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,3,90,337,3214,2713,501,102,206.71
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,4,98,20,50,0,50,4,14.99
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,4,177,0,7,0,7,186,0.74
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,3,428,120,1660,0,1660,49,117.34
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,4,121,8,23,0,23,2,14.48
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,4,135,104,99,0,99,284,4.79
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,4,120,7,36,0,36,145,6.44
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,4,92,13,276,238,38,10,19.1
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,3,526,105,1322,0,1322,42,127.88
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,4,101,1,11,0,11,0,16.26
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,4,194,34,199,0,199,33,17.21
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,2,166,601,5639,4491,1148,182,472.36
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,4,365,0,14,0,14,383,1.47
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,4,99,11,26,0,26,10,25.54
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,3,441,43,1463,0,1463,23,127.14
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,4,192,29,184,0,184,13,32.05
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,4,220,28,192,0,192,318,15.59
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,4,281,232,223,0,223,619,10.9
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,4,230,22,164,0,164,11,33.69
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,3,344,86,1270,0,1270,68,187.36
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,4,34,114,996,965,31,28,52.71
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,3,413,117,2625,982,1643,69,161.19
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,4,528,0,28,0,28,562,2.42
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,4,200,18,669,452,217,11,45.88
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,4,196,8,155,0,155,10,38.72
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,4,446,459,649,0,649,1210,16.99
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,4,331,46,485,0,485,632,24.44
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,4,274,73,477,0,477,71,32.56
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,4,340,54,440,0,440,12,50.22
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,4,179,32,294,0,294,30,54.45
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,4,276,48,529,0,529,25,61.28
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,4,271,36,1038,587,451,28,71.83
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,4,291,16,369,0,369,13,68.24
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,4,683,0,81,0,81,772,3.35
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,4,358,109,1046,0,1046,113,54.88
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,4,569,724,1012,0,1012,1747,25.12
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,4,416,88,846,0,846,917,40.44
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,3,142,466,4386,3646,740,158,317.13
