x,y
9.48261144,5.753143079
10.2253413,6.276568251
10.75736228,6.995415647
11.49718051,7.474764512
11.81209692,8.357389983
12.31154005,9.05893031
12.8141364,9.839011251
13.17420242,10.63327628
14.00457315,10.96773231
14.91280406,10.94741838
15.79432179,10.97529548
16.67367983,10.92103597
17.60688481,10.91678994
18.44177828,10.94147362
19.22762258,11.08779538
19.75610254,11.62597132
19.85718084,12.58263039
20.06981873,13.47233217
20.60741125,14.24534479
21.05127391,15.066951
21.83436261,15.38460272
22.69592401,15.45164033
23.62900053,15.64207664
24.49934061,15.48854107
1.0,1.0
7.0,27.0
4.227804231,27.15518049
4.288271974,26.1718446
4.286037166,25.28549247
4.442112463,24.37835868
4.695423078,23.48444219
4.951649755,22.59738293
5.575181163,21.90135854
6.18196932,21.20598552
6.564894616,20.46253196
7.044557044,19.73353792
7.462057485,19.01727206
8.372732903,18.67207558
8.996867951,18.07470744
9.674766102,17.58255204
10.60010407,17.36260217
11.46528962,16.9988794
12.43633751,17.02238748
13.27107236,16.77922779
14.06397607,16.53070139
15.02214993,16.50770948
15.88675431,16.60301452
16.74153667,16.38653154
17.62136598,16.78260402
18.51444419,17.0245687
19.35910489,16.87846701
20.19888049,16.63612493
21.04120064,16.91276579
21.92638505,16.86200753
22.74830431,17.12507821
23.63085856,17.30251486
24.35578143,17.83613847
25.12163902,18.35763783
25.86617676,18.89879445
26.65352204,19.39646367
27.43263575,19.69915708
28.18799437,20.28505426
28.97316505,20.66794477
29.74061603,21.04281568
30.21305292,21.73667963
30.58028004,22.51537987
31.18190637,23.18730489
31.5059433,23.97987367
32.21612924,24.56999399
32.57970624,25.43293252
33.27527675,25.87044475
34.00589997,26.4170131
34.58524187,27.0712594
35.34266337,27.54348822
35.8289527,28.27284239
36.54272633,28.7404956
37.44793711,28.83987111
1.0,1.0
6.0,10.0
6.467957059,9.646289394
6.946239296,10.38272652
6.948521192,11.32657416
6.975635922,12.30510068
6.990984311,13.18401028
6.0,13.0
5.0,13.0
4.0,14.0
4.0,15.0
4.0,16.0
4.0,17.0
4.0,18.0
5.0,19.0
6.0,20.0
7.0,21.0
8.0,21.0
9.0,21.0
10.0,21.0
10.0,20.0
10.0,19.0
10.0,18.0
11.0,17.0
11.70011957,17.455927
12.52546934,17.72364372
13.38609337,17.79973366
14.15672783,18.22304398
15.04353102,18.32079885
14.39526597,18.03069701
15.13223503,17.59954207
16.09250024,17.60176261
16.9901701,17.6222354
17.84666178,17.52170629
18.67725335,17.55750988
19.57934342,17.77743767
20.43987501,17.97201134
21.36467624,18.01038552
22.14903025,18.27760418
23.04380016,18.06121338
23.92073625,18.16582463
24.79423789,18.49701846
25.57872459,18.78393627
26.35347608,19.26767729
27.15998908,19.39593852
27.93887435,19.57222223
1.0,1.0
29.0,16.0
29.0,16.0
29.12657684,16.83853566
29.60140499,17.64523216
29.71602443,18.55203764
29.94478757,19.39354445
30.06603108,20.2022881
30.28946155,21.05222747
31.28687514,21.01283484
1.0,1.0
16.0,14.0
16.0,15.0
17.0,16.0
17.0,17.0
16.0,17.0
16.0,18.0
16.0,19.0
15.0,20.0
14.0,19.0
14.0,18.0
13.61170573,18.32275359
14.34392897,18.67915157
14.97581636,19.32059038
15.73210787,19.72422137
16.04306211,20.54745377
16.19604361,21.42973332
16.07326099,22.3400393
16.04208935,23.24175379
15.9557775,24.05162572
15.91805258,24.90729109
15.94800442,25.74797167
16.02818957,26.64093238
15.99686071,27.48684634
15.71853885,28.2267255
15.53597221,29.05791306
15.25908401,29.89864919
15.29824279,30.75039
15.3572164,31.60826052
15.45920609,32.44953538
16.05582733,33.15188498
15.95779273,34.12414076
15.91690322,35.06166507
15.82501129,35.9634753
15.53787476,36.87378939
15.91064697,37.67605391
15.93957882,38.53591167
15.49288203,39.35085035
15.0,40.0
16.0,41.0
1.0,1.0
10.0,21.0
10.0,20.0
10.87973071,19.92408259
11.56696683,19.5438449
12.31889471,19.91440661
13.10596583,20.22098995
13.98780566,20.24395284
14.74952679,20.71714226
15.0,22.0
16.0,22.0
17.0,23.0
17.0,24.0
16.50475361,24.38672578
17.39148993,24.2539568
18.2993424,24.1940173
19.13775017,23.93581151
19.97474391,23.68592091
20.8513407,23.49568624
21.39564152,22.69369221
22.20424052,22.16494492
22.89468948,21.60931852
23.58985558,21.04138302
24.43692575,20.63412169
25.37539087,20.449653
26.28080199,20.24067678
27.14003101,20.005969
28.01342586,19.97633731
28.89201318,19.64364867
29.75274724,19.8283616
30.46905316,20.30532607
30.89236313,21.11588052
31.4483507,21.92376926
32.00232024,22.68958777
32.46931995,23.39060958
32.9798436,24.12674835
33.71650285,24.71716278
34.53918339,25.18782551
34.97627074,25.99212054
34.92263633,26.82363116
35.5268278,27.44817044
35.93633295,28.26943308
36.51856978,29.02413241
37.3701641,29.06219062
38.24303358,28.74981362
39.1525982,28.67734791
39.98115929,28.41343759
40.58917359,27.74411203
41.43453015,27.43448437
42.03980147,26.83892694
42.60297071,26.07275223
43.15773099,25.36700499
43.62242643,24.6390939
44.11442636,23.8682821
44.71090321,23.41416283
45.49561648,23.20007469
45.49865658,22.2527655
45.37538276,21.32680316
45.23254472,20.37761831
45.06769361,19.44300642
44.8370081,18.50191798
44.49686595,17.62436892
44.31294714,16.83388766
44.06195484,16.07231049
